Question,Predicted Answer,Exact Match,Substring Match,Correct Answers,,,,,,,,,,,,,,,,,,,,,,,,
What was Tymnet,international data communications network,1,1,an international data communications network headquartered in San Jose, CA : an international data communications network : international data communications network,,,,,,,,,,,,,,,,,,,,,,,
What did Tymnet connect ,host computers,1,1,connect host computers (servers)at thousands of large companies, educational institutions, and government agencies : host computers (servers)at thousands of large companies, educational institutions, and government agencies : host computers,,,,,,,,,,,,,,,,,,,,
How did user of Tymnet connect ,via dial-up connections or dedicated async connections,0,1,connected via dial-up connections or dedicated async connections : dial-up connections or dedicated async connections : dial-up,,,,,,,,,,,,,,,,,,,,,,,,
The business allowed for private companies to do what ,build their own dedicated networks,1,1,government agencies and large companies (mostly banks and airlines) to build their own dedicated networks : build their own dedicated networks : build their own dedicated networks,,,,,,,,,,,,,,,,,,,,,,,,
Gateways allowed private companies to do what ,build their own dedicated networks,0,0,private networks were often connected via gateways to the public network to reach locations not on the private network : reach locations not on the private network : reach locations not on the private network,,,,,,,,,,,,,,,,,,,,,,,,
How many types of X.25 networks were there originally ,two,1,1,There were two kinds of X.25 networks. Some such as DATAPAC and TRANSPAC : two : two,,,,,,,,,,,,,,,,,,,,,,,,
Who developed DATAPAC,Bell Northern Research,1,1,DATAPAC was developed by Bell Northern Research : Bell Northern Research : Bell Northern Research,,,,,,,,,,,,,,,,,,,,,,,,
WHat did foreign clones of DATAPAC allow for ,interconnection of national X.25 networks,1,1,A user or host could call a host on a foreign network by including the DNIC of the remote network as part of the destination address : the interconnection of national X.25 networks : interconnection of national X.25 networks,,,,,,,,,,,,,,,,,,,,,,,,
What was AUSTPAC,Australian public X.25 network operated by Telstra,0,1,AUSTPAC was an Australian public X.25 network operated by Telstra : an Australian public X.25 network operated by Telstra : an Australian public X.25 network,,,,,,,,,,,,,,,,,,,,,,,,
What did AUSTPAC support ,applications such as on-line betting  financial applications,1,1,supporting applications such as on-line betting, financial applications : applications such as on-line betting, financial applications : applications such as on-line betting, financial applications,,,,,,,,,,,,,,,,,,,,,
How are AUSTPAC connections made ,AUSTPAC was an Australian public X.25 network operated by Telstra. Started by Telecom Australia in the early 1980s  AUSTPAC was Australia's first public packet-switched data network  supporting applications such as on-line betting  financial applications â€” the Australian Tax Office made use of AUSTPAC â€” and remote terminal access to academic institutions  who maintained their connections to AUSTPAC up until the mid-late 1990s in some cases,0,0,Access can be via a dial-up terminal to a PAD, or, by linking a permanent X.25 node to the network : dial-up terminal to a PAD, or, by linking a permanent X.25 node : dial-up terminal,,,,,,,,,,,,,,,,,,,,
What was DATANET 1 ,public switched data network operated by the Dutch PTT Telecom (now known as KPN). Strictly speaking Datanet 1 only referred to the network and the connected users via leased lines,0,0,was the public switched data network operated by the Dutch PTT Telecom : the public switched data network operated by the Dutch PTT Telecom : public switched data network,,,,,,,,,,,,,,,,,,,,,,,,
Strictly speaking who was included in DATANET 1,the network,1,1,Datanet 1 only referred to the network and the connected users via leased lines : the network : the network and the connected users,,,,,,,,,,,,,,,,,,,,,,,,
Who else did DATNET 1 refer to ,the network and the connected users via leased lines,0,0,public PAD service Telepad (using the DNIC 2049 : the public PAD service Telepad : public PAD service Telepad,,,,,,,,,,,,,,,,,,,,,,,,
Was the Use of the DATANET 1 name correct ,X.121 DNIC 2041,0,0,use of the name was incorrect all these services were managed by the same people within one department of KPN contributed to the confusion : the name was incorrect : Dutch PTT Telecom,,,,,,,,,,,,,,,,,,,,,,,,
What is CSNET,The Computer Science Network,1,1,The Computer Science Network : a computer network funded by the U.S. National Science Foundation (NSF) : Computer Science Network,,,,,,,,,,,,,,,,,,,,,,,,
What was the purpose of CSNET,extend networking benefits,1,1,to extend networking benefits, for computer science departments at academic and research institutions that could not be directly connected to ARPANET : to extend networking benefits : extend networking benefits,,,,,,,,,,,,,,,,,,,,,,,
Funding limitations allowed CSNET to be what ,ARPANET,0,1,role in spreading awareness of, and access to, national networking and was a major milestone on the path to development of the global Internet : not be directly connected to ARPANET : not be directly connected to ARPANET,,,,,,,,,,,,,,,,,,,,,,
 what is Internet2,a not-for-profit United States computer networking consortium,0,1,a not-for-profit United States computer networking consortium led by members from the research and education communities, industry, and government : a not-for-profit United States computer networking consortium led by members from the research and education communities, industry, and government : not-for-profit United States computer networking consortium,,,,,,,,,,,,,,,,,,,,
Who did internet2 partner with,Qwest  built the first Internet2 Network  called Abilene  in 1998 and was a prime investor in the National LambdaRail (NLR) project. In 2006  Internet2 announced a partnership with Level 3 Communications,0,0,The Internet2 community, in partnership with Qwest : Qwest : Qwest,,,,,,,,,,,,,,,,,,,,,,,
What was the first internet2 network named,Abilene,1,1,Abilene : Abilene : Abilene,,,,,,,,,,,,,,,,,,,,,,,,
Who did internet2 partner with ,Qwest  built the first Internet2 Network  called Abilene  in 1998 and was a prime investor in the National LambdaRail (NLR) project. In 2006  Internet2 announced a partnership with Level 3 Communications,0,0,a partnership with Level 3 Communications to launch a brand new nationwide network : Level 3 Communications : Qwest,,,,,,,,,,,,,,,,,,,,,,,,
ableine was retired and the new platform is called ,Internet2 officially retired Abilene and now refers to its new  higher capacity network as the Internet2 Network,1,1,Internet2 officially retired Abilene and now refers to its new, higher capacity network as the Internet2 Network : Internet2 Network : Internet2 Network,,,,,,,,,,,,,,,,,,,,,,,
What is NSFNET,The National Science Foundation Network,1,1,The National Science Foundation Network : National Science Foundation Network : National Science Foundation Network,,,,,,,,,,,,,,,,,,,,,,,,
What did NSFNET promote,advanced research and education networking,1,1,advanced research and education networking in the United States : advanced research and education networking : advanced research and education networking,,,,,,,,,,,,,,,,,,,,,,,,
What did NSFNET eventually provide,advanced research and education networking,0,0,it developed into a major part of the Internet backbone : a major part of the Internet backbone : major part of the Internet backbone,,,,,,,,,,,,,,,,,,,,,,,,
what does vBNS stand for ,Very high-speed Backbone Network Service,1,1,The Very high-speed Backbone Network Service : Very high-speed Backbone Network Service : Very high-speed Backbone Network Service,,,,,,,,,,,,,,,,,,,,,,,,
What did vBNS do ,upgrade the entire backbone to OC-48c,0,0,provide high-speed interconnection between NSF-sponsored supercomputing centers and select access points in the United States : provide high-speed interconnection between NSF-sponsored supercomputing centers and select access points in the United States : high-speed interconnection,,,,,,,,,,,,,,,,,,,,,,,,
Who operated the vBSN network ,MCI Telecommunications,1,1,The network was engineered and operated by MCI Telecommunications under a cooperative agreement with the NSF : MCI Telecommunications : National Science Foundation,,,,,,,,,,,,,,,,,,,,,,,,
By 199 how many universities were connected ,100,1,1,By 1998, the vBNS had grown to connect more than 100 universities and research and engineering institutions via 12 national points of presence with DS-3 : more than 100 universities : 100,,,,,,,,,,,,,,,,,,,,,,,
What did the network install in 1999,high-speed interconnection between NSF-sponsored supercomputing centers and select access points in the United States. The network was engineered and operated by MCI Telecommunications under a cooperative agreement with the NSF,0,0,vBNS installed one of the first ever production OC-48c (2.5 Gbit/s) IP links in February 1999 and went on to upgrade the entire backbone to OC-48c : one of the first ever production OC-48c (2.5 Gbit/s) IP links : OC-48c,,,,,,,,,,,,,,,,,,,,,,,,
Where did the black death originate?,arid plains of Central Asia,0,1,the arid plains of Central Asia : Central Asia : Central Asia,,,,,,,,,,,,,,,,,,,,,,,,
How did the black death make it to the Mediterranean and Europe?,Spreading throughout the Mediterranean and Europe  the Black Death is estimated to have killed 30â€“60% of Europe's total population,0,0,merchant ships. : merchant ships : Silk Road,,,,,,,,,,,,,,,,,,,,,,,,
How much of the European population did the black death kill?,30â€“60%,1,1,30â€“60% of Europe's total population : 30â€“60% of Europe's total population : 30â€“60%,,,,,,,,,,,,,,,,,,,,,,,,
When did the world's population finally recover from the black death?,17th century,1,1,the 17th century : 17th century : 17th century,,,,,,,,,,,,,,,,,,,,,,,,
For how long did the plague stick around?,350â€“375 million,0,0,until the 19th century : until the 19th century : 19th century,,,,,,,,,,,,,,,,,,,,,,,,
What does it mean for a disease to be enzootic?,present,0,1,commonly present : commonly present : commonly present,,,,,,,,,,,,,,,,,,,,,,,,
How old are the gravestones that reference the plague?,25 million,0,0,dating to 1338â€“39 : 1338â€“39 : 1338â€“39,,,,,,,,,,,,,,,,,,,,,,,,
Where do scientists think all of the plagues originated from?,China,1,1,China : China : China,,,,,,,,,,,,,,,,,,,,,,,,
When did the Chinese famine begin?,1331,1,1,1331 : 1331 : 1331,,,,,,,,,,,,,,,,,,,,,,,,
How many did this epidemic in China kill?,25 million,1,1,an estimated 25 million : 25 million : 25 million,,,,,,,,,,,,,,,,,,,,,,,,
Who introduced plague to Europe?,Genoese traders,1,1,Genoese traders : Genoese traders : Genoese traders,,,,,,,,,,,,,,,,,,,,,,,,
Who did the army siege belong to?,Jani Beg,1,1,Jani Beg : Jani Beg : Jani Beg,,,,,,,,,,,,,,,,,,,,,,,,
What did the Mongol army throw in their catapults?,the infected corpses,0,0,infected corpses : infected corpses : infected corpses,,,,,,,,,,,,,,,,,,,,,,,,
Where did the genoese traders bring the plague?,Sicily and the south of Europe,1,1,Sicily : Sicily and the south of Europe : Sicily,,,,,,,,,,,,,,,,,,,,,,,,
What contributed to the severity of the plague?,weather,0,1,war, famine, and weather : war, famine, and weather : war, famine, and weather,,,,,,,,,,,,,,,,,,
Which direction did the disease first move in?,northwest,1,1,northwest across Europe : northwest : northwest,,,,,,,,,,,,,,,,,,,,,,,,
Which country was the last to receive the disease?,Italy,0,0,northwestern Russia : Russia : Russia,,,,,,,,,,,,,,,,,,,,,,,,
What types of European groups were able to avoid the plague?,Kingdom of Poland,0,0,parts of Europe that had smaller trade relations with their neighbours : smaller trade relations with their neighbours : smaller trade relations with their neighbours,,,,,,,,,,,,,,,,,,,,,,,,
Where was the disease spreading between 1348 and 1350?,Germany and Scandinavia,1,1,Germany and Scandinavia : Germany and Scandinavia : Germany and Scandinavia,,,,,,,,,,,,,,,,,,,,,,,,
When did a plague-ridden ship land in Norway?,1349,1,1,1349 : 1349 : 1349,,,,,,,,,,,,,,,,,,,,,,,,
What effect did the plague have on the Middle East?,serious depopulation and permanent change in both economic and social structures,1,1,serious depopulation and permanent change in both economic and social structures : depopulation and permanent change in both economic and social structures : depopulation and permanent change in both economic and social structures,,,,,,,,,,,,,,,,,,,,,,,,
When had the plague reached Alexandria?,autumn 1347,1,1,autumn 1347 : 1347 : 1347,,,,,,,,,,,,,,,,,,,,,,,,
How did the plague infiltrate Alexandria?,through the port's trade with Constantinople  and ports on the Black Sea,0,1,y through the port's trade with Constantinople, and ports on the Black Sea : port's trade : trade with Constantinople,,,,,,,,,,,,,,,,,,,,,,,
Where did the residents of Antioch flee to?,the north,1,1,The city's residents fled to the north : the north : north,,,,,,,,,,,,,,,,,,,,,,,,
Who claimed that the name Black Death first appeared in 1631?,Gasquet,1,1,Gasquet : Gasquet : Gasquet,,,,,,,,,,,,,,,,,,,,,,,,
What is the Latin name for Black Death?,atra mors,1,1,atra mors : atra mors : atra mors,,,,,,,,,,,,,,,,,,,,,,,,
Who allegedly coined the name Black Death?,Gasquet,0,0,J.I. Pontanus : J.I. Pontanus : J.I. Pontanus,,,,,,,,,,,,,,,,,,,,,,,,
When did the name black death officially take root in England?,1823,1,1,1823 : 1823 : 1823,,,,,,,,,,,,,,,,,,,,,,,,
Did the plague spread in Scandinavia or Germany first?,Germany,0,0,Scandinavia : Scandinavia : Scandinavia,,,,,,,,,,,,,,,,,,,,,,,,
What was the black death originally blamed on?,the heavens,1,1,the heavens : the heavens : the heavens,,,,,,,,,,,,,,,,,,,,,,,,
Who was the medical report written for?,king of France,1,1,the king of France : king of France : king of France,,,,,,,,,,,,,,,,,,,,,,,,
What is the newer  more widely accepted theory behind the spread of the plague?,bad air,1,1,That the plague was caused by bad air : bad air : great pestilence in the air,,,,,,,,,,,,,,,,,,,,,,,,
What is the bad air theory officially known as?,Miasma theory,1,1,Miasma theory : Miasma theory. : Miasma theory,,,,,,,,,,,,,,,,,,,,,,,,
What was considered responsible for the black death as well as the epidemic in southern China?,Yersinia pestis,1,1,Yersinia pestis : Yersinia pestis : Yersinia pestis,,,,,,,,,,,,,,,,,,,,,,,,
Where and when did the investigation of the plague pathogen begin?,Hong Kong in 1894,1,1,Hong Kong in 1894 : Hong Kong : Hong Kong in 1894,,,,,,,,,,,,,,,,,,,,,,,,
Who was yersinia pestis named for?,Alexandre Yersin,1,1,French-Swiss bacteriologist Alexandre Yersin : Alexandre Yersin : Alexandre Yersin,,,,,,,,,,,,,,,,,,,,,,,,
What did Paul-Louis Simond establish in 1898?,The mechanism by which Y. pestis was usually transmitted,1,1,The mechanism by which Y. pestis was usually transmitted : mechanism by which Y. pestis was usually transmitted : The mechanism by which Y. pestis was usually transmitted,,,,,,,,,,,,,,,,,,,,,,,,
What was the bubonic plague mechanism reliant on?,two populations of rodents,1,1,two populations of rodents : two populations of rodents : two populations of rodents,,,,,,,,,,,,,,,,,,,,,,,,
Who wrote about the great pestilence in 1893?,Francis Aidan Gasquet,1,1,Francis Aidan Gasquet : Francis Aidan Gasquet : Francis Aidan Gasquet,,,,,,,,,,,,,,,,,,,,,,,,
What did Gasquet think the plague was?,it would appear to be some form of the ordinary Eastern or bubonic plague,0,0,some form of the ordinary Eastern or bubonic plague : bubonic plague : ordinary Eastern or bubonic plague,,,,,,,,,,,,,,,,,,,,,,,,
When did the second edition of Gasquet's book come out?,1908,1,1,1908 : 1908 : 1908,,,,,,,,,,,,,,,,,,,,,,,,
What did Gasquet's book blame the plague on?,rats and fleas,1,1,rats and fleas : rats and fleas : rats and fleas,,,,,,,,,,,,,,,,,,,,,,,,
What is another plague thought to have spread the same way?,epidemiology of the bubonic plague for the Black Death,0,0,the Justinian plague that was prevalent in the Eastern Roman Empire from 541 to 700 CE. : Justinian plague : Justinian plague,,,,,,,,,,,,,,,,,,,,,,,,
What is the mortality rate of the modern bubonic plague?,30â€“75%,1,1,30â€“75% : 30â€“75% : 30â€“75%,,,,,,,,,,,,,,,,,,,,,,,,
How high do plague fevers run?,90 to 95 percent,0,0,100â€“106 Â°F : 38â€“41 Â°C : 41 Â°C,,,,,,,,,,,,,,,,,,,,,,,,
What percent of untreated victims of the plague die within 8 days?,80 percent,1,1,80 percent : 80 : 80,,,,,,,,,,,,,,,,,,,,,,,,
What is the mortality rate of pneumonic plague?,30â€“75%,0,0,90 to 95 percent : 90 to 95 : 90 to 95 percent,,,,,,,,,,,,,,,,,,,,,,,,
What skin-related symptom appears from the pneumonic plague?,malaise. Left untreated,0,0,purple skin patches : purple skin patches : purple skin patches,,,,,,,,,,,,,,,,,,,,,,,,
When did the Plos Pathogens paper come out?,Oct-10,1,1,In October 2010 : October 2010 : October 2010,,,,,,,,,,,,,,,,,,,,,,,,
What was the Plos Pathogens paper about?,a multinational team,0,0,a new investigation into the role of Yersinia pestis in the Black Death : role of Yersinia pestis in the Black Death : the role of Yersinia pestis in the Black Death,,,,,,,,,,,,,,,,,,,,,,,,
How did scientists assess the DNA/RNA of yersinia pestis? ,prior analyses from the south of France and Germany,0,0,with Polymerase Chain Reaction (PCR) : Polymerase Chain Reaction (PCR) techniques : Polymerase Chain Reaction (PCR) techniques,,,,,,,,,,,,,,,,,,,,,,,,
Where did scientists find their Y. pestis sample? ,south of France and Germany,0,0,from the tooth sockets in human skeletons : mass graves in northern, central and southern Europe : tooth sockets in human skeletons,,,,,,,,,,,,,,,,,,,,,,,
What does the plos pathogen paper claim?,a multinational team,0,0,unambiguously demonstrates that Y. pestis was the causative agent of the epidemic plague : Y. pestis was the causative agent of the epidemic plague : Y. pestis was the causative agent of the epidemic plague that devastated Europe during the Middle Ages,,,,,,,,,,,,,,,,,,,,,,,,
What are clades?,genetic branches) of the Y. pestis genome associated with medieval mass graves. These clades (which are thought to be extinct,0,0,genetic branches : genetic branches : genetic branches,,,,,,,,,,,,,,,,,,,,,,,,
What strains of y. pestis were found in the mass graves?,Y. p. orientalis and Y. p. medievalis,1,1,Y. p. orientalis and Y. p. medievalis : Y. pestis : Y. p. orientalis and Y. p. medievalis,,,,,,,,,,,,,,,,,,,,,,,,
What do the strains of y. pestis suggest abut the plague?,the plague may have entered Europe in two waves,1,1,the plague may have entered Europe in two waves : the plague may have entered Europe in two waves : may have entered Europe in two waves,,,,,,,,,,,,,,,,,,,,,,,,
How and when did the first variant of y. pestis enter Europe?,November 1347,0,1,through the port of Marseille around November 1347 : the port of Marseille around November 1347 : 1347,,,,,,,,,,,,,,,,,,,,,,,,
When did the y. pestis reach England?,1349,1,1,spring of 1349 : 1349 : 1349,,,,,,,,,,,,,,,,,,,,,,,,
What is the current status of the Haensch study?,confirmed and amended,1,1,confirmed and amended : confirmed and amended : confirmed and amended,,,,,,,,,,,,,,,,,,,,,,,,
Where was the burial site used for testing located?,England,1,1,East Smithfield : England : East Smithfield,,,,,,,,,,,,,,,,,,,,,,,,
What is thought to have happened to the y. pestis that caused the black death?,ancestral to most modern strains of the disease,0,0,may no longer exist : may no longer exist : may no longer exist,,,,,,,,,,,,,,,,,,,,,,,,
When was the study on sequenced Y genomes published?,Oct-11,1,1,October 2011 : October 2011 : October 2011,,,,,,,,,,,,,,,,,,,,,,,,
Who challenged the plague theory first?,J. F. D. Shrewsbury,1,1,British bacteriologist J. F. D. Shrewsbury : J. F. D. Shrewsbury : J. F. D. Shrewsbury,,,,,,,,,,,,,,,,,,,,,,,,
What did Shrewsbury note about the plague?,the reported rates of mortality in rural areas,0,1,rates of mortality in rural areas during the 14th-century pandemic were inconsistent with the modern bubonic plague : the reported rates of mortality in rural areas during the 14th-century pandemic were inconsistent with the modern bubonic plague : reported rates of mortality in rural areas during the 14th-century pandemic were inconsistent with the modern bubonic plague,,,,,,,,,,,,,,,,,,,,,,,,
What was Shrewsbury's conclusion?,the reported rates of mortality in rural areas,0,0,contemporary accounts were exaggerations : contemporary accounts were exaggerations : contemporary accounts were exaggerations,,,,,,,,,,,,,,,,,,,,,,,,
What did Graham Twigg publish in 1984?,zoologist,0,0,the first major work to challenge the bubonic plague theory directly : the first major work to challenge the bubonic plague theory directly : first major work to challenge the bubonic plague theory directly,,,,,,,,,,,,,,,,,,,,,,,,
Who discussed Twigg's study in 2002?,Graham Twigg produced the first major work to challenge the bubonic plague theory directly  and his doubts about the identity of the Black Death have been taken up by a number of authors  including Samuel K. Cohn  Jr. (2002)  David Herlihy (1997)  and Susan Scott and Christopher Duncan,0,0,Samuel K. Cohn, Jr. : Samuel K. Cohn, Jr. : Samuel K. Cohn, Jr.,,,,,,,,,,,,,,,,,,,,,
What is as important as identifying plague symptoms?,epidemiological account of the plague,1,1,epidemiological account of the plague : an epidemiological account : epidemiological account of the plague,,,,,,,,,,,,,,,,,,,,,,,,
Why are researchers struggling to identify the history of the plague?,hampered by the lack of reliable statistics from this period,0,0,the lack of reliable statistics from this period : the lack of reliable statistics : lack of reliable statistics,,,,,,,,,,,,,,,,,,,,,,,,
How much do estimations of the population during the plague vary?,over 100%,1,1,by over 100% : by over 100% : over 100%,,,,,,,,,,,,,,,,,,,,,,,,
Where can population estimates be extrapolated from?,the clergy,1,1,the clergy : figures from the clergy : figures from the clergy,,,,,,,,,,,,,,,,,,,,,,,,
During which years was no census taken?,1377,1,1,between the time of publication of the Domesday Book and the year 1377 : 1377 : between the time of publication of the Domesday Book and the year 1377,,,,,,,,,,,,,,,,,,,,,,,,
Why might rats not be responsible for the plague?,the rat population was insufficient to account for a bubonic plague pandemic  sceptics of the bubonic plague theory point out that the symptoms of the Black Death,0,0,the rat population was insufficient : rat population was insufficient : rat population was insufficient to account for a bubonic plague pandemic,,,,,,,,,,,,,,,,,,,,,,,,
How significant was the transfer of disease through fleas?,marginal significance,0,1,of marginal significance : marginal : marginal,,,,,,,,,,,,,,,,,,,,,,,,
Why  might the temperature affect the theory of plague spreading?,the symptoms of the Black Death are not unique,0,0,temperatures that are too cold in northern Europe for the survival of fleas : too cold in northern Europe for the survival of fleas : too cold in northern Europe for the survival of fleas,,,,,,,,,,,,,,,,,,,,,,,,
Was the bubonic plague spread faster or slower than modern bubonic plague?,faster,1,1,the Black Death was much faster than that of modern bubonic plague : faster : faster,,,,,,,,,,,,,,,,,,,,,,,,
How many years could separate outbreaks of the black death?,5 to 15,1,1,5 to 15 years : 5 to 15 : 5 to 15,,,,,,,,,,,,,,,,,,,,,,,,
What does Graham Twigg propose about the spread of disease?,hemorrhagic plague similar to Ebola. Archaeologist Barney Sloane has argued that there is insufficient evidence of the extinction of a large number of rats in the archaeological record of the medieval waterfront in London and that the plague spread too quickly to support the thesis that the Y. pestis was spread from fleas on rats,0,0,a form of anthrax : was a form of anthrax : the cause was a form of anthrax,,,,,,,,,,,,,,,,,,,,,,,,
What was Norman Cantor's theory about the plague?,a combination of anthrax and other pandemics,1,1,a combination of anthrax and other pandemics : a combination of anthrax and other pandemics : a combination of anthrax and other pandemics,,,,,,,,,,,,,,,,,,,,,,,,
Which diseases do many scientists believe contributed to plague pandemic?,typhus  smallpox and respiratory infections,1,1,typhus, smallpox and respiratory infections : typhus, smallpox and respiratory infections : typhus, smallpox and respiratory infections,,,,,,,,,,,,,,,,,,,,,
What is septicemia? ,smallpox and respiratory infections,0,0,"(a type of ""blood poisoning"" : a type of ""blood poisoning"" : a type of ""blood poisoning""",,,,,,,,,,,,,,,,,,,,,,,,
How many bodies did Public Health England exhume? ,25,1,1,25:25:25,,,,,,,,,,,,,,,,,,,,,,,,
How much of the population in the Middle East died of the plague?,40%,0,0,about a third. : about a third : about a third,,,,,,,,,,,,,,,,,,,,,,,,
How much of Paris' population was killed by the plague?,40%,0,0,Half of Paris's population of 100,000 people : 100,000 : Half,,,,,,,,,,,,,,,,,,,,,,
What do isolated  spaced out graves of plague victims indicate?,pre-planning and Christian burials,0,1,at least some pre-planning and Christian burials : some pre-planning and Christian burials : some pre-planning and Christian burials,,,,,,,,,,,,,,,,,,,,,,,,
How many people would die of plague in largely populated cities?,50%,1,1,as much as 50% : 50% : 50%,,,,,,,,,,,,,,,,,,,,,,,,
Which areas were least vulnerable to disease?,isolated areas,1,1,most isolated areas : isolated areas : isolated,,,,,,,,,,,,,,,,,,,,,,,,
When did the plague return to Europe?,14th to 17th centuries,1,1,throughout the 14th to 17th centuries : 14th to 17th centuries : 14th to 17th centuries,,,,,,,,,,,,,,,,,,,,,,,,
What did Biraben say about the plague in Europe?,present somewhere in Europe in every year between 1346 and 1671,0,1,the plague was present somewhere in Europe in every year between 1346 and 1671. : was present somewhere in Europe in every year between 1346 and 1671 : the plague was present somewhere in Europe in every year between 1346 and 1671,,,,,,,,,,,,,,,,,,,,,,,,
How many French people were lost to plague between 1628-31?,million,0,1,almost a million people : almost a million people : a million,,,,,,,,,,,,,,,,,,,,,,,,
What did historians do in the absence of census figures?,propose a range of preincident population,0,1,propose a range of preincident population figures from as high as 7 million to as low as 4 million : propose a range of preincident population figures from as high as 7 million to as low as 4 million : propose a range of preincident population figures,,,,,,,,,,,,,,,,,,,,,,,,
When did the black death technically subside?,1350,1,1,By the end of 1350 : 1350 : By the end of 1350,,,,,,,,,,,,,,,,,,,,,,,,
How many people died in the outbreak of 1471?,10â€“15%,0,1,10â€“15% of the population : 10â€“15% of the population : 10â€“15% of the population,,,,,,,,,,,,,,,,,,,,,,,,
When was the great plague of London?,1665,1,1,1665 : 1665 : 1665,,,,,,,,,,,,,,,,,,,,,,,,
How many people died of plague in Paris in 1466?,40 000,1,1,40,000 : 40,000 : 40,0,,,,,,,,,,,,,,,,,,,,,
The black plague ravaged Europe for three years followed by what country?,Russia,1,1,Russia : Russia : Russia,,,,,,,,,,,,,,,,,,,,,,,,
Which outbreak was associated with troops in the thirty years war?,Italian Plague of 1629â€“1631,0,1,the Italian Plague of 1629â€“1631 : Italian Plague : Italian Plague,,,,,,,,,,,,,,,,,,,,,,,,
When was the last plague outbreak?,1654,1,1,The last plague outbreak ravaged Oslo in 1654. : 1654 : 1654,,,,,,,,,,,,,,,,,,,,,,,,
How many times did plague occur in Venice?,22,1,1,22 times between 1361 and 1528 : 22 : 22,,,,,,,,,,,,,,,,,,,,,,,,
How many were killed by plague in Italy in the 17th century?,1.7 million,1,1,some 1.7 million victims : 1.7 million : 1.7 million,,,,,,,,,,,,,,,,,,,,,,,,
How many were killed by plague in Naples in 1656?,300 000,0,1,about half of Naples' 300,000 inhabitants : half of Naples' 300,000 inhabitants : half of Naples' 300,000 inhabitants,,,,,,,,,,,,,,,,,,,,,
How many residents of Seville died of plague in 1649?,300 000,0,0,reduced the population of Seville by half : half : half,,,,,,,,,,,,,,,,,,,,,,,,
Who fought in the great Northern war?,Sweden v. Russia and allies,1,1,Sweden v. Russia and allies : Sweden v. Russia and allies : Sweden v. Russia and allies,,,,,,,,,,,,,,,,,,,,,,,,
When was Europe's last major epidemic?,1720,1,1,1720 in Marseille. : 1720 : 1720,,,,,,,,,,,,,,,,,,,,,,,,
During which years was the plague present in Islamic countries?,between 1500 and 1850,1,1,between 1500 and 1850 : 1500 and 1850 : 1500 and 1850,,,,,,,,,,,,,,,,,,,,,,,,
How many people were lost in Algiers during 1620-21?,30 to 50 thousand,1,1,30 to 50 thousand inhabitants : 30 to 50 thousand : 30 to 50 thousand,,,,,,,,,,,,,,,,,,,,,,,,
How long did plague last in the Ottoman empire?,between 1500 and 1850,0,0,until the second quarter of the 19th century. : until the second quarter of the 19th century : until the second quarter of the 19th century,,,,,,,,,,,,,,,,,,,,,,,,
How many people  at most  have died of plague in Baghdad? ,two-thirds,0,1,two-thirds of its population : two-thirds of its population : two-thirds of its population,,,,,,,,,,,,,,,,,,,,,,,,
An igneous rock is a rock that crystallizes from what?,melt,1,1,melt (magma and/or lava) : melt : rock crystallizes from melt (magma and/or lava) : melt (magma and/or lava),,,,,,,,,,,,,,,,,,,,,,,,
Sedimentary rock can be turned into which of the three types of rock?,metamorphic rock,1,1,metamorphic rock : metamorphic : metamorphic rock : metamorphic,,,,,,,,,,,,,,,,,,,,,,,,
When the three types of rock are re-melted what is formed? ,a new magma,0,0,new magma : igneous : new magma : magma,,,,,,,,,,,,,,,,,,,,,,,,
What are the three major types of rock? ,igneous  sedimentary  and metamorphic,1,1,igneous, sedimentary, and metamorphic : igneous, sedimentary, and metamorphic : igneous, sedimentary, and metamorphic : igneous, sedimentary, and metamorphic,,,,,,,,,,,,,,,,
What changes the mineral content of a rock?,heat and pressure,1,1,heat and pressure : heat and pressure : heat and pressure : heat and pressure,,,,,,,,,,,,,,,,,,,,,,,,
What was the most important discovery that led to the understanding that Earth's lithosphere is separated into tectonic plates?,seafloor spreading,1,1,seafloor spreading : seafloor spreading : seafloor spreading : seafloor spreading,,,,,,,,,,,,,,,,,,,,,,,,
Which parts of the Earth are included in the lithosphere? ,crust and rigid uppermost,0,1,the crust and rigid uppermost portion of the upper mantle : crust and rigid uppermost portion of the upper mantle : crust and rigid uppermost portion of the upper mantle : crust and rigid uppermost portion of the upper mantle,,,,,,,,,,,,,,,,,,,,,,,,
What is another word for the Earth's upper mantle?,asthenosphere,1,1,asthenosphere : asthenosphere : asthenosphere : asthenosphere,,,,,,,,,,,,,,,,,,,,,,,,
Plate tectonics can be seen as the intimate coupling between rigid plates on the surface of the Earth and what? ,the convecting mantle,1,1,the convecting mantle : convection of the mantle : convection of the mantle : the convecting mantle,,,,,,,,,,,,,,,,,,,,,,,,
In what decade was seafloor spreading discovered? ,1960s,1,1,the 1960s : 1960s : 1960s : 1960s,,,,,,,,,,,,,,,,,,,,,,,,
What is the area called where two plates move apart?,Mid-ocean ridges,0,0,divergent boundaries : divergent boundaries : divergent boundaries : divergent boundaries,,,,,,,,,,,,,,,,,,,,,,,,
What is the area called where one plate subducts under another?,convergent boundaries,1,1,convergent boundaries : convergent boundaries : convergent boundaries : convergent boundaries,,,,,,,,,,,,,,,,,,,,,,,,
